etID  | Input | Late Latin | Output {GOLD}
90     | #rˈeːɡem# | *#rˈeʝɛ# | *#rˈei# {GOLD: #rˈej#}
91     | #lˈeːɡem# | *#lˈeʝɛ# | *#ʎˈei# {GOLD: #ʎˈej#}
92     | #d̪ˈied̪ˌomˈin̪ikum# | *#d̪ˈixd̪ˌɔmˈen̪eko# | *#d̪ˈixd̪umˈɛn̪k# {GOLD: #d̪iwmˈeɲʒə#}
93     | #lˈin̪ɡwɑm# | *#lˈeŋɡwɑ# | *#ʎˈeŋɡwə# {GOLD: #ʎˈeŋɡwə#}
94     | #skˈilla# | *#ˌescˈellɑ# | *#isˈeʎə# {GOLD: #əskˈeʎə#}
95     | #ˈillum# | *#ˈello# | *#ˈeʎ# {GOLD: #ˈeʎ#}
96     | #kˈin̪erem# | *#cˈen̪rɛ# | *#sˈɛn̪d̪r# {GOLD: #sˈɛn̪d̪ɾə#}
97     | #wˈirɡin̪em# | *#βʷˈerɟen̪ɛ# | *#bˈɛrʒə# {GOLD: #bˈɛrʒə#}
98     | #wˈirid̪em# | *#βʷˈerd̪ɛ# | *#bˈɛrt̪# {GOLD: #bˈɛrt#}
99     | #wˈeːlum# | *#βʷˈelo# | *#bˈɛl# {GOLD: #bˈɛl#}
100    | #wˈeːlam# | *#βʷˈelɑ# | *#bˈɛlə# {GOLD: #bˈɛlə#}
101    | #kˌan̪d̪ˈeːlam# | *#kˌɑn̪d̪ˈelɑ# | *#kən̪ˈɛlə# {GOLD: #kən̪d̪ˈɛlə#}
102    | #pˈilum# | *#pˈelo# | *#pˈɛl# {GOLD: #pˈɛl#}
103    | #t̪ˈeːlam# | *#t̪ˈelɑ# | *#t̪ˈɛlə# {GOLD: #t̪ˈɛʎə#}
104    | #wˈikiam# | *#βʷˈeccʝɑ# | *#bˈesə# {GOLD: #bɛsə#}
105    | #kˈeːreum# | *#cˈerʝo# | *#sˈɛɾə# {GOLD: #sˈiɾi#}
106    | #sˈeːpiam# | *#sˈepʝɑ# | *#sˈiʒə# {GOLD: #sˈipiə#}
107    | #kˌoe̯meːn̪t̪ˈeːrium# | *#cˌemen̪t̪ˈerʝo# | *#simt̪ˈɛɾə# {GOLD: #səmən̪t̪ˈiɾi#}
108    | #mˌon̪ast̪ˈeːrium# | *#mˌɔn̪ɑst̪ˈerʝo# | *#mun̪t̪ˈɛɾə# {GOLD: #mun̪əst̪ˈi#}
109    | #psˌalt̪ˈeːrium# | *#psˌɑɫt̪ˈerʝo# | *#səɫt̪ˈɛɾə# {GOLD: #səlt̪ˈiɾi#}
110    | #n̪ˈerwum# | *#n̪ˈɛrβʷo# | *#n̪ˈɛrp# {GOLD: #n̪ˈɛrbi#}
111    | #krˈipia# | *#krˈepʝɑ# | *#ɡrˈiʒə# {GOLD: #ɡɾˈipiə#}
112    | #fˈeːkiː# | *#fˈeci# | *#fˈes# {GOLD: #fˈiw#}
113    | #ˈibiː# | *#ˈeβi# | *#ˈew# {GOLD: #ˈi#}
114    | #mˈihiː# | *#mˈei# | *#mˈe# {GOLD: #mˈi#}
115    | #sˈibiː# | *#sˈeβi# | *#sˈew# {GOLD: #sˈi#}
116    | #st̪ˈeːt̪uiː# | *#ˌest̪ˈet̪wi# | *#ist̪ˈeðwi# {GOLD: #əst̪ˈik#}
117    | #t̪ˈeːn̪uiː# | *#t̪ˈen̪wi# | *#t̪ˈe# {GOLD: #t̪ˈiŋk#}
118    | #wˌiɡˈin̪t̪iː# | *#βʷˌeʝˈen̪t̪i# | *#biʒˈen̪t̪# {GOLD: #bˈin#}
119    | #d̪ˈia# | *#d̪ˈeɑ# | *#d̪ˈɛə# {GOLD: #d̪ˈiə#}
120    | #sˈiat̪# | *#sˈeɑt̪# | *#sˈɛə# {GOLD: #sˈiə#}
121    | #wˈiam# | *#βʷˈeɑ# | *#bˈɛə# {GOLD: #bˈiə#}
122    | #kˈin̪kt̪am# | *#cˈeŋt̪ɑ# | *#sˈeŋt̪ə# {GOLD: #sˈin̪t̪ə#}
123    | #kˈin̪ɡulam# | *#cˈeŋɡlɑ# | *#sˈeŋʎə# {GOLD: #sˈiŋɡlə#}
124    | #pin̪kt̪at̪# | *#peŋt̪ɑt̪# | *#piŋt̪ə# {GOLD: #pˈin̪t̪ə#}
125    | #ˌeksˈeːmplum# | *#ˌɛxsˈemplo# | *#iʃˈɛmblu# {GOLD: #əksˈimpli#}
126    | #mˈin̪uat̪# | *#mˈen̪wɑt̪# | *#mˈɛn̪ə# {GOLD: #mˈimbə#}
127    | #wˈid̪uam# | *#βʷˈed̪wɑ# | *#bˈezwə# {GOLD: #bˈiwðə#}
128    | #ˌepˈiskopum# | *#ˌɛpˈeskɔpo# | *#iβˈeskup# {GOLD: #bˈizbə#}
129    | #fˌamˈiliam# | *#fˌɑmˈelʝɑ# | *#fəmˈeʎə# {GOLD: #fəmˈiliə#}
130    | #lˈiːbrum# | *#lˈiβro# | *#ʎˈiwrə# {GOLD: #ʎˈiβɾə#}
131    | #mˈissam# | *#mˈessɑ# | *#mˈesə# {GOLD: #mˈisə#}
132    | #ˌoffˈikium# | *#ˌɔffˈeccʝo# | *#ufˈes# {GOLD: #ufˈisi#}
133    | #wˈit̪rum# | *#βʷˈet̪ro# | *#bˈɛr# {GOLD: #bˈiðɾə#}
134    | #ˌekklˈeːsiam# | *#ˌɛkklˈesʝɑ# | *#ikʎˈezə# {GOLD: #əzɡlˈeziə#}
135    | #ˌeksˈemplum# | *#ˌɛxsˈɛmplo# | *#iʃˈɛmblu# {GOLD: #əɡzˈemplə#}
136    | #wˌen̪ˈeːn̪um# | *#βʷˌɛn̪ˈen̪o# | *#biɾˈe# {GOLD: #bəɾˈi#}
137    | #rˌakˈeːmum# | *#rˌɑcˈemo# | *#rəzˈɛm# {GOLD: #rəˈim#}
138    | #t̪ˈin̪eam# | *#t̪ˈen̪ʝɑ# | *#t̪ˈeɲə# {GOLD: #t̪ˈiɲə#}
139    | #d̪ˈiɡit̪um# | *#d̪ˈeʝet̪o# | *#d̪ˈiʒt̪# {GOLD: #d̪ˈit#}
140    | #d̪ˈikt̪um# | *#d̪ˈext̪o# | *#d̪ˈet̪# {GOLD: #d̪ˈit̪#}
141    | #mˈiːlium# | *#mˈilʝo# | *#mˈil# {GOLD: #mˈiʎ#}
142    | #d̪ˌeˈin̪t̪us# | *#d̪ˌɛˈen̪t̪os# | *#d̪ˈɛn̪t̪us# {GOLD: #d̪ˈin̪s#}
143    | #d̪ˌeˈin̪t̪ro# | *#d̪ˌɛˈen̪t̪rɔ# | *#d̪ˈɛn̪d̪r# {GOLD: #d̪ˈin̪t̪ɾə#}
144    | #sˌubˈin̪d̪e# | *#sˌoβˈen̪d̪ɛ# | *#suβˈɛn̪# {GOLD: #suβˈin̪#}
145    | #frˈat̪re# | *#frˈɑt̪rɛ# | *#flˈar# {GOLD: #fɾˈaɾə#}
146    | #pˌalˈaːt̪ium# | *#pˌɑlˈɑt͡sʲʝo# | *#pəlˈas# {GOLD: #pəlˈaw#}
147    | #ɡˌermˈaːn̪um# | *#ɟˌɛrmˈɑn̪o# | *#ʒərmˈa# {GOLD: #ʒərmˈa#}
148    | #pˈan̪t̪ikem# | *#pˈɑn̪t̪ecɛ# | *#pˈan̪t̪əs# {GOLD: #pˈaɲʃə#}
149    | #pˈassum# | *#pˈɑsso# | *#pˈas# {GOLD: #pˈas#}
150    | #ˈarborem# | *#ˈɑrbɔrɛ# | *#ˈaβə# {GOLD: #ˈaβɾə#}
151    | #kˈarn̪em# | *#kˈɑrn̪ɛ# | *#kˈar# {GOLD: #kˈarn#}
152    | #kˈalikem# | *#kˈɑlecɛ# | *#kˈas# {GOLD: #kˈalzə#}
153    | #t̪ˈalpam# | *#t̪ˈɑɫpɑ# | *#t̪ˈaɫpə# {GOLD: #t̪ˈalp#}
154    | #ˈalt̪erum# | *#ˈɑɫt̪ɛro# | *#ˈaɫt̪ə# {GOLD: #ˈalt̪ɾə#}
155    | #fˈalkem# | *#fˈɑɫcɛ# | *#fˈaɫs# {GOLD: #fˈals#}
156    | #kˌabˈallum# | *#kˌɑβˈɑllo# | *#kəβˈaʎ# {GOLD: #kəβˈaʎ#}
157    | #ˌarˈaːn̪eam# | *#ˌɑrˈɑn̪ʝɑ# | *#əɾˈaɲə# {GOLD: #əɾˈaɲə#}
158    | #ˈan̪n̪um# | *#ˈɑn̪n̪o# | *#ˈan̪# {GOLD: #ˈaɲ#}
159    | #plˌan̪t̪ˈaːɡin̪em# | *#plˌɑn̪t̪ˈɑɡn̪ɛ# | *#plərt̪ˈaɣn̪ə# {GOLD: #plən̪t̪ˈad͡ʒə#}
160    | #lˈakweum# | *#lˈɑccʝo# | *#ʎˈas# {GOLD: #ʎˈas#}
161    | #ˈakwam# | *#ˈɑkwɑ# | *#ˈaɣwə# {GOLD: #ˈajɣwə#}
162    | #iˌakˈet̪# | *#ʝˌɑcˈɛt̪# | *#ʒəzˈɛ# {GOLD: #ʒˈɛw#}
163    | #t̪rˌahˈeːre# | *#t̪rˌɑˈerɛ# | *#rˈe# {GOLD: #t̪ɾˈɛwɾə#}
164    | #sˌapˈeːre# | *#sˌɑpˈerɛ# | *#səβˈe# {GOLD: #sˈɛβɾə#}
165    | #t̪ˈam# | *#t̪ˈɑm# | *#t̪ˈa# {GOLD: #t̪ˈen̪#}
166    | #sˈaːn̪kt̪um# | *#sˈɑŋt̪o# | *#sˈaŋt̪# {GOLD: #sˈen̪#}
167    | #pˈaleam# | *#pˈɑlʝɑ# | *#pˈaʎə# {GOLD: #pˈaʎə#}
168    | #d̪ˈakulam# | *#d̪ˈɑklɑ# | *#d̪ˈaʎə# {GOLD: #d̪ˈaʎə#}
169    | #frˈaɡulam# | *#frˈɑɡlɑ# | *#frˈaʎə# {GOLD: #fɾˈawlə#}
170    | #spˈat̪ulam# | *#ˌespˈɑklɑ# | *#əspˈaʎə# {GOLD: #əspˈaʎʎə#}
171    | #st̪ˈaːɡn̪um# | *#ˌest̪ˈɑŋn̪o# | *#əst̪ˈaɲ# {GOLD: #əst̪ˈaɲ#}
172    | #fˈaːɡeum# | *#fˈɑʝʝo# | *#fˈaʒi# {GOLD: #fˈat͡ʃ#}
173    | #bˈaiulum# | *#bˈɑʝolo# | *#bˈaʒl# {GOLD: #bˈaʎʎə#}
174    | #mˈaium# | *#mˈɑʝo# | *#mˈai# {GOLD: #mˈat͡ʃ#}
175    | #rˈad̪ium# | *#rˈɑʝʝo# | *#rˈaʒi# {GOLD: #rˈat͡ʃ#}
176    | #lˈabium# | *#lˈɑbʝo# | *#ʎˈaʒu# {GOLD: #ʎˈaβi#}
177    | #sˈapiat̪# | *#sˈɑpʝɑt̪# | *#sˈaʒə# {GOLD: #sˈapiə#}
178    | #fˈakt̪um# | *#fˈɑxt̪o# | *#fˈet̪# {GOLD: #fˈet#}
179    | #lˈakt̪em# | *#lˈɑxt̪ɛ# | *#ʎˈet̪# {GOLD: #ʎˈet#}
180    | #plˈakit̪um# | *#plˈɑxt̪o# | *#plˈet̪# {GOLD: #plˈet#}
181    | #t̪rˈakt̪um# | *#t̪rˈɑxt̪o# | *#rˈet̪# {GOLD: #t̪ɾˈet#}
182    | #werwakt̪um# | *#βʷɛrβʷɑxt̪o# | *#bərbət̪# {GOLD: #ɡwəɾˈɛt̪#}
183    | #ˈaksem# | *#ˈɑxsɛ# | *#ˈaʃ# {GOLD: #ˈeʃ#}
